id,arrival,start_service,finish,waiting,service
1,0.14518451436852475,0.14518451436852475,4.1969762269237405,0.0,4.051791712555215
3,1.5490648267819074,4.1969762269237405,4.759402430483645,2.647911400141833,0.5624262035599046
4,1.6242796925312217,4.759402430483645,5.7375459744000326,3.135122737952423,0.9781435439163875
2,0.5941831542903504,0.5941831542903504,9.54669598542591,0.0,8.952512831135559
5,1.6911000709069648,5.7375459744000326,11.328337447287968,4.046445903493067,5.590791472887934
7,4.377930221620456,11.328337447287968,11.810578965495091,6.950407225667512,0.4822415182071236
6,2.2989039524296317,9.54669598542591,15.291667473315158,7.247792032996278,5.744971487889249
8,5.16494279700802,11.810578965495091,16.517423423642533,6.645636168487071,4.706844458147442
9,7.0099944106308705,15.291667473315158,18.674432403960466,8.281673062684288,3.382764930645307
11,8.971101890809111,18.674432403960466,19.44929270825323,9.703330513151355,0.7748603042927636
10,7.828990220943469,16.517423423642533,21.07625051548833,8.688433202699064,4.558827091845795
13,12.68652755464513,21.07625051548833,23.481795145024286,8.3897229608432,2.4055446295359566
12,11.919179488079832,19.44929270825323,24.014168592022035,7.530113220173396,4.5648758837688055
14,16.069014420480464,23.481795145024286,24.025458102463684,7.412780724543822,0.5436629574393987
15,18.14316642520691,24.014168592022035,28.094469377171468,5.871002166815124,4.080300785149434
17,25.45645888639873,28.094469377171468,28.876185423082678,2.6380104907727393,0.7817160459112089
16,22.458520156865283,24.025458102463684,31.068918179385996,1.5669379455984007,7.043460076922313
19,26.85595179780316,31.068918179385996,32.14353496898959,4.212966381582834,1.0746167896035952
20,27.57174714247525,32.14353496898959,32.59992702584355,4.571787826514342,0.4563920568539549
18,26.338997953649585,28.876185423082678,32.97292806444871,2.5371874694330927,4.09674264136603
21,29.066330171566218,32.59992702584355,33.215703846836355,3.533596854277331,0.6157768209928063
22,29.973500123225932,32.97292806444871,33.41442045319662,2.999427941222777,0.4414923887479078
24,33.50064850325357,33.50064850325357,33.826818952978535,0.0,0.32617044972496095
25,34.547861690473496,34.547861690473496,34.918528653991714,0.0,0.3706669635182168
23,32.606843734849136,33.215703846836355,36.533909841303775,0.6088601119872195,3.3182059944674185
27,36.60907362518617,36.60907362518617,36.667083877575706,0.0,0.05801025238953834
28,37.028705340760354,37.028705340760354,37.62536152523821,0.0,0.5966561844778564
26,35.02482413816678,35.02482413816678,41.03782298706696,0.0,6.0129988489001835
29,39.526657099378426,39.526657099378426,41.632638923319604,0.0,2.105981823941177
30,39.83441009316409,41.03782298706696,42.81043806160817,1.2034128939028719,1.772615074541206
31,40.44787524447751,41.632638923319604,43.04550611036385,1.1847636788420957,1.412867187044247
33,41.62165226663721,43.04550611036385,44.27634827022725,1.42385384372664,1.2308421598634005
34,42.259181189225714,44.27634827022725,45.06480686476246,2.0171670810015385,0.7884585945352041
35,43.2109131723922,45.06480686476246,45.15393113284841,1.8538936923702565,0.08912426808595145
