N,S,repairers,lambda,mu,label,avg_crash,min_crash,max_crash,avg_queue,analytical
10,1,1,100.0,1.0,"S=1, R=1",103.669893991703,1.1177416333307872,284.5480716291143,0.0,2.0e6
10,3,1,100.0,1.0,"S=3, R=1",10700.86032705989,476.8977445998672,38793.63724208239,0.01673854734831086,4.0e6
10,5,1,100.0,1.0,"S=5, R=1",920469.2385267048,10657.501180582329,2.8998228070667046e6,0.011507493749641523,6.0e6
10,3,2,100.0,1.0,"S=3, R=2",62170.39996639756,3034.944795029616,224183.2311810007,0.0006601979892846198,4.0e6
10,3,3,100.0,1.0,"S=3, R=3",87119.13574993466,3034.944795029616,224183.2311810007,0.0,4.0e6
5,2,1,100.0,1.0,"N=5, S=2",9407.74029846446,290.0506544947453,29640.743854116114,0.005810051336993575,3.0e6
15,5,1,100.0,1.0,"N=15, S=5",142431.6510941197,10898.14107323713,375412.0933507081,0.026782900861271604,6.0e6
