lam,mu,c,label,avg_wait,avg_total,max_wait,Pwait_sim,Pwait_anal
0.5,0.5,1,"M/M/1, ρ=1.0",19.204513302566138,21.187702405751583,52.41293038261256,0.926,NaN
0.5,0.5,2,"M/M/2, ρ=0.5",0.608775643138755,2.5919647463242024,8.423150997478501,0.308,0.3333333333333333
0.9,0.5,2,"M/M/2, ρ=0.9",5.003263924129228,6.986453027314677,21.772621742205843,0.822,0.8526315789473685
0.9,0.5,3,"M/M/3, ρ=0.6",0.5359557888914048,2.5191448920768518,5.531471730047002,0.342,0.3547445255474451
1.5,0.5,4,"M/M/4, ρ=0.75",0.8833264033091898,2.8665155064946375,7.615900557119659,0.482,0.5094339622641509
